SESSION	SPEAKER	GENDER	WAVEFORM
10.wav	A	male	C:\Users\Maxim\PycharmProjects\VoiceLearning\praat-prosody_v0.1.1\demo\samples\10.wav
12.wav	A	male	C:\Users\Maxim\PycharmProjects\VoiceLearning\praat-prosody_v0.1.1\demo\samples\12.wav
13.wav	A	male	C:\Users\Maxim\PycharmProjects\VoiceLearning\praat-prosody_v0.1.1\demo\samples\13.wav
14.wav	A	male	C:\Users\Maxim\PycharmProjects\VoiceLearning\praat-prosody_v0.1.1\demo\samples\14.wav
15.wav	A	male	C:\Users\Maxim\PycharmProjects\VoiceLearning\praat-prosody_v0.1.1\demo\samples\15.wav
2.wav	A	male	C:\Users\Maxim\PycharmProjects\VoiceLearning\praat-prosody_v0.1.1\demo\samples\2.wav
3.wav	A	male	C:\Users\Maxim\PycharmProjects\VoiceLearning\praat-prosody_v0.1.1\demo\samples\3.wav
4.wav	A	male	C:\Users\Maxim\PycharmProjects\VoiceLearning\praat-prosody_v0.1.1\demo\samples\4.wav
5.wav	A	male	C:\Users\Maxim\PycharmProjects\VoiceLearning\praat-prosody_v0.1.1\demo\samples\5.wav
6.wav	A	male	C:\Users\Maxim\PycharmProjects\VoiceLearning\praat-prosody_v0.1.1\demo\samples\6.wav
9.wav	A	male	C:\Users\Maxim\PycharmProjects\VoiceLearning\praat-prosody_v0.1.1\demo\samples\9.wav
